Name,University,Difficulty Level,Link,About,Course Description,Category
Solar Energy,Delft University of Technology,Beginner,https://www.edx.org/course/solar-energy-3,Discover the power of solar energy and learn how to design a complete photovoltaic system.,"In the third edition of Solar Energy, you will learn to design a complete photovoltaic system. This course introduces the technology that converts solar energy into electricity, heat and solar fuels with a main focus on electricity generation. Photovoltaic (PV) devices are presented as advanced semiconductor devices that deliver electricity directly from sunlight. The emphasis is on understanding the working principle of a solar cell, fabrication of solar cells, PV module construction and the design of a PV system. You will gain a greater understanding of the principles of the photovoltaic conversion— the conversion of light into electricity. This course explores the advantages, limitations and challenges of different solar cell technologies, such as crystalline silicon solar cell technology, thin film solar cell technologies and the latest novel solar cell concepts as studied on lab-scale. We will discuss the specifications of solar modules and demonstrate how to design a complete solar system for any particular application.Education MethodThe class will consist of a collection of eight to twelve minute lecture videos, exercises, assignments and exams. Specified assignments and the three exams will determine the final grade. The new textbook on “Solar Energy, basics, technology and systems” from the Delft University of Technology will be available for the students on-line and free of charge. Your course staff will encourage and challenge you to learn from, and interact with, your fellow students by helping each other and sharing ideas and best practices, in the course forum. We were happy to see the incredible number of interesting student videos on solar energy systems from all over the world in the previous edition of this course.Professor Smets was the first ever recipient of the edX Prize for Exceptional Contributions to Online Teaching and Learning. His previous online courses attracted over 150,000 students worldwide, who were inspired to take their first steps in the transition to renewable energy. Engineering",Computer Science
Mindfulness and Resilience to Stress at Work,"University of California, Berkeley",Beginner,https://www.edx.org/course/mindfulness-and-resilience-to-stress-at-work,"Learn research-based strategies to help you foster mindfulness, handle stress, and guard against burnout.","Stress, anxiety, and burnout are rampant across workplaces today: 80 percent of workers feel stress on the job, and nearly half say they need help learning how to manage it. While many organizations may assume that intense stress is unavoidable, even admirable, research suggests that too much stress is toxic to our health and performance, leading to burnout and harming the culture of organizations as a whole.This course offers research-based strategies for building resilience to stress and fortifying our well-being in the face of challenges. It explains the biological and psychological impact of stress, helps you distinguish between harmful and helpful forms of stress at work, and provides strategies for handling stress in healthy and productive ways.The course zeroes in on the practice of mindfulness, the moment-by-moment awareness of our thoughts, feelings, and sensations that comes without judging those thoughts and feelings as good or bad. In recent years, there has been a surge in scientific research on mindfulness, with many studies documenting the value and advantages of fostering mindfulness in workplace settings. This course covers the landscape of mindfulness science, explains why it’s relevant to modern workplaces, and describes how it can be effectively folded into your workplace, drawing on case studies from several major companies that have implemented their own mindfulness programs.The course instructors are expert faculty from UC Berkeley’s Greater Good Science Center, Dacher Keltner, Ph.D., and Emiliana Simon-Thomas, Ph.D., whose earlier edX course, The Science of Happiness, has been a global phenomenon, introducing a half million students worldwide to research-based practices of mindfulness and related skills of stress reduction. In this course, they tailor their scientific insights to the needs of the modern workplace, highlighting stories of success from trailblazing organizations while also identifying challenges that workplaces may face as they try to foster mindfulness and resilience. Business & Management",Business
Framing Your Communication to Inspire and Convince,Delft University of Technology,Intermediate,https://www.edx.org/course/communicating-effectively-how-to-inspire-and-con-2,Discover how to gain support from management and motivate your teams by learning how to communicate effectively and strategically.,"In order to be effective, leaders need a high tolerance of complexity. Beyond this, they need to inform their people and the outside world of their strategies, policies and decisions. Effective leaders are often inspiring communicators - their own high tolerance of complexity helps them reduce this complexity to a concise and powerful message. This course introduces the sensemaking mindset. Your sensemaking mindset is of critical importance in motivating others to follow and support you. Your communication ability to inspire and convince is largely dependent on the way you frame your message, and on your skills at playing the game of framing and reframing. You will learn from a large variety of (video) cases and analyze a large number of situations where leaders' communication and sensemaking skills are tested and probed.The course is designed so that you are introduced to communication by reviewing public figures and politicians to bring awareness to communication techniques. Then you will see the same techniques being utilized with public figures in the engineering field. This enables you to visualize how to best utilize these communication techniques in your career successfully. Upon completion of this course you will be introduced to the sensemaking mindset, and will have learned how to use framing essentials, debating methods and pitching methods, in order to frame your communication to your team and supervisor. This will ensure that you are equipped to build winning coalitions in your own organization. Business & Management",Business
Digital Design,The Hong Kong University of Science and Technology,Beginner,https://www.edx.org/course/digital-design,"The course is an introduction to digital design technology. It allows you to understand the basics of digital design and helps you develop skills from computer aided design to animation covering topics such as rigging, key framing, rendering and more.","Digital Design is about designing in digital space so that the created contents can be displayed and seen on a digital device. With the availability of high computing power, designers are able to quickly create designs in digital space prior to actual deployment.In this course, you will learn the fundamental concepts of a wide variety of digital design technology and you will have the opportunity to create your own digital designs and animate them as well. The course focuses on creating 3D objects using a computer-aided design package, creating real life physical simulations and then combining the two techniques to create rendered animations. It will also introduce the virtual reality (VR) and augmented reality (AR) applications.This course allows you to get hands-on experience on different design tools so that the various outputs can be combined in a systematic way. So get started to experience this excitement of creating your own designs now whether it be for continuing education or as a hobby.At the end of the course, you will be able to: Design",Design
Machine Learning for Data Science and Analytics,Columbia University,Beginner,https://www.edx.org/course/machine-learning-for-data-science-and-analytics,Learn the principles of machine learning and the importance of algorithms.,"Machine Learning is a growing field that is used when searching the web, placing ads, credit scoring, stock trading and for many other applications.This data science course is an introduction to machine learning and algorithms. You will develop a basic understanding of the principles of machine learning and derive practical solutions using predictive analytics. We will also examine why algorithms play an essential role in Big Data analysis. Computer Science",Computer Science
The Science of Everyday Thinking,The University of Queensland,Beginner,https://www.edx.org/course/the-science-of-everyday-thinking,"Learn how to think better, argue better, and choose better.","We will explore the psychology of our everyday thinking: why people believe weird things, how we form and change our opinions, why our expectations skew our judgments, and how we can make better decisions. We'll discuss and debate topics such as placebos, the paranormal, medicine, miracles, and more.You will use the scientific method to evaluate claims, make sense of evidence, and understand why we so often make irrational choices. You will begin to rely on slow, effortful, deliberative, analytic, and logical thinking rather than fast, automatic, instinctive, emotional, and stereotypical thinking.We will provide tools for how to think independently, how to be skeptical, and how to value data over personal experience. We will examine the mental shortcuts that people use and misuse, and apply this knowledge to help make better decisions, and improve critical thinking. Business & Management",Business
Product Management Fundamentals,"The University of Maryland, College Park-University System of Maryland",Beginner,https://www.edx.org/course/product-management-fundamentals,Understand the keys to successfully navigating the roles and responsibilities of being a product manager to champion change with internal and external collaborators and influencers,"Product management is one of the fastest growing and most lucrative jobs available today. Companies have awoken to the desperate need for product managers to create products that customers love, that integrate design, functionality, and business solutions. In our course, we define the fundamentals of product management and why this role is so coveted as a launch pad for future CEOs and startup founders.To be effective, product managers need a clear understanding of their jobs and duties. They also need a clear understanding of the required skills and competencies. An appreciation of these roles, responsibilities, skills, and capabilities is also beneficial for stakeholders and team members who collaborate with product managers.This course investigates the framework for success in product management by defining the product manager’s position in an organization and the key responsibilities. We will examine the skills and competencies most critical to carrying out those responsibilities. To further improve your understanding of product management, we will discuss how product managers engage with the product team and stakeholders to create and manage successful products.Product managers must also know how to establish, organize, and lead a team. They must know the typical product development life cycle and be able to select the right development methodology for the product and the target market. To meet these challenges to product team leadership, we will consider the phases of product development and the roles that product managers play in each step. We’ll examine a variety of team structures and product development methodologies, and the importance of establishing a team charter. Lastly, we will also explore the opportunities and challenges of market development and commercialization. We’ll provide an orientation to key marketing concepts critical to developing and commercializing innovative products and services. Business & Management",Business
Data Science and Machine Learning Capstone Project,IBM,Intermediate,https://www.edx.org/course/data-science-and-machine-learning-capstone-project,Create a project that you can use to showcase your Data Science skills to prospective employers. Apply various data science and machine learning techniques to analyze and visualize a data set involving a real life business scenario and build a predictive model.,"About this courseNow that you've taken several courses on data science and machine learning, it’s time to put your learning to work on a data problem involving a real life scenario. Employers really care about how well you can apply your knowledge and skills to solve real world problems, and the work you do in this capstone project will make you stand out in the job market. In this capstone project, you’ll explore data sets in New York’s 311 system, which is used by New Yorkers to report complaints for the non-emergency problems they face. Upon being reported, various agencies in New York get assigned to resolve these problems. The data related to these complaints is available in the New York City Open Dataset. On investigation, one can see that in the last few years the 311 complaints coming to the Department of Housing Preservation and Development in New York City have increased significantly. Your task is to find out the answers to some of the questions that would help the Department of Housing Preservation and Development in New York City effectively tackle the 311 complaints coming to them. You will need to use the techniques you learned in your previous Python, data science, and machine learning courses, including data ingestion, data exploration, data visualization, feature engineering, probabilistic modeling, model validation, and more. By the end of this course, you will have used real world data science tools to create a showcase project and demonstrate to employers that you are job ready and a worthy candidate in the field of data science. Data Analysis & Statistics",Data Analytics
"Data Science for Construction, Architecture and Engineering",The National University of Singapore,Beginner,https://www.edx.org/course/Data-Science-for-Construction-Architecture-and-Engineering,"This course introduces data science skills targeting applications in the design, construction, and operations of buildings. You will learn practical coding within this context with an emphasis on basic Python programming and the Pandas library.","The building industry is exploding with data sources that impact the energy performance of the built environment and health and well-being of occupants. Spreadsheets just don’t cut it anymore as the sole analytics tool for professionals in this field. Participating in mainstream data science courses might provide skills such as programming and statistics, however the applied context to buildings is missing, which is the most important part for beginners. This course focuses on the development of data science skills for professionals specifically in the built environment sector. It targets architects, engineers, construction and facilities managers with little or no previous programming experience. An introduction to data science skills is given in the context of the building life cycle phases. Participants will use large, open data sets from the design, construction, and operations of buildings to learn and practice data science techniques. Essentially this course is designed to add new tools and skills to supplement spreadsheets. Major technical topics include data loading, processing, visualization, and basic machine learning using the Python programming language, the Pandas data analytics and sci-kit learn machine learning libraries, and the web-based Colaboratory environment. In addition, the course will provide numerous learning paths for various built environment-related tasks to facilitate further growth. Data Analysis & Statistics",Data Analytics
Project Management for Development,Inter-American Development Bank,Intermediate,https://www.edx.org/course/project-management-for-development,A MOOC developed in collaboration with the Project Management Institute Educational Foundation (PMIEF). Learn best practices for managing projects that promote economic and social development in Latin America and the Caribbean.,"This course will be offered in EnglishOne of the challenges faced every day by governments, public organizations, nongovernmental organizations, development agencies, and other stakeholders that promote economic and social development in Latin America and the Caribbean is transforming proposals into concrete realities that improve society’s well-being and provide results within the time and resources available.This course introduces concepts and tools that can be applied to project management to generate material changes and meet expected objectives with limited resources. This MOOC strengthens participants’ capacity to manage government and social projects (such as nonprofit and civil society projects) so that they are executed efficiently and effectively.70% of the students who have taken the course state that they improved their ability to formulate, implement and/or evaluate public policies.The course is based on the Inter-American Development Bank’s PM4R methodology and the PMBOK® Guide, Sixth Edition of the PMI®.Project Management for Results (PM4R) was created by the IDB’s Inter-American Institute for Economic and Social Development (INDES).Participants who receive a certificate for this course also obtain 35 PDUs, because INDES is a PMI® Registered Education Provider (R.E.P.).To pass this course, participants must dedicate approximately 3 hours per week for 10 weeks. However, the self-paced modality provides them with the flexibility to take the course over a maximum of 8.7 months, as of April 2nd, 2020.The creation of this course was funded by the Institutional Capacity Strengthening Fund (ICSF), thanks to the contribution of the Government of the People’s Republic of China.PMBOK® Guide is a registered trademark of the Project Management Institute, Inc. Business & Management",Business
Introduction to Cloud Infrastructure Technologies,The Linux Foundation,Beginner,https://www.edx.org/course/introduction-to-cloud-infrastructure-technologies,"Learn the fundamentals of building and managing cloud technologies directly from The Linux Foundation, the leader in open source.","New to the cloud and not sure where to begin? This Beginner course, taught by cloud experts from The Linux Foundation, will help you grasp the basics of cloud computing and comprehend the terminology, tools and technologies associated with today’s top cloud platforms.Understanding cloud technologies tops the list of most important skills for any developer, system administrator or network computing professional seeking a lucrative career in technology. However, getting started and researching all things cloud can be complicated and time consuming. This course maps out the entire cloud landscape and explains how various tools and platforms fit together.Experts from The Linux Foundation can help guide you step-by-step as you begin to navigate the cloud. They host some of the world's leading open source cloud projects and provide training and networking opportunities to educate a talent pool to support those projects, and is a respected, neutral, non-profit education source to provide training for anyone learning how to build and manage cloud infrastructure.This course gives you a primer on cloud computing and the use of open source software to maximize development and operations. Topics covered include:No previous cloud experience is required for this course. ""Introduction to Cloud Infrastructure Technologies"" gives you the knowledge and tools to make smart decisions about which cloud services and applications to use depending on your needs. Computer Science",Computer Science
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",Wageningen University & Research,Beginner,https://www.edx.org/course/circular-fashion-in-a-sustainable-clothingindustry,"The fundamentals of circular fashion unraveled, learn about circularity in all steps of the fashion value chain. From new textile materials and circular design all the way to business modelling.","The fashion industry has a large influence on the global economy and is more and more known for its social and environmental impact. Everywhere, new sustainable initiatives are arising from recycling, upcycling to creating clothes from compostable materials. Circularity tough, is a complex phenomenon. What will the future bring us? Are we indeed going to decompose our clothes in our own garden?This online course brings you a comprehensive introduction in circular fashion brought to you by roughly thirty different experts from both academia and practice. You will learn about the versatile task of transitioning towards circular fashion, from the unique collaboration between Wageningen University & Research, ArtEZ University of the Arts and many other experts.After the course you will know the core concepts and tools to help better understand circular economy in the fashion industry. Some of the topics that are covered focus on understanding the challenge of recycling, design for circularity, alternative textiles through biobased innovation and circular business modelling to help bring innovations to the market.For whom?This course will provide designers, retailers, scientists, engineers and all working at the industry or with an interest in fashion with holistic insights in the complex challenges of circular fashion, while engaging you to start the transition to circularity within your personal and/or professional practices. We will bring together art, design and science to move beyond an ego-centric approach of fashion and start from an ecosystems perspective.Learn the theory, understand the practice and start your own circular fashion journey. Join the movement towards a circular fashion industry!1. The difference between sustainability & circularity 2. Ecosystem circularity 3. Closing the loop in fashion 4. Biobased innovation and new materialism 5. Business as crafting value  Art & Culture",Design
Machine Learning,Columbia University,Advanced,https://www.edx.org/course/machine-learning,Master the essentials of machine learning and algorithms to help improve learning from data without human intervention.,"Machine Learning is the basis for the most exciting careers in data analysis today. You’ll learn the models and methods and apply them to real world situations ranging from identifying trending news topics, to building recommendation engines, ranking sports teams and plotting the path of movie zombies.Major perspectives covered include:Topics include: classification and regression, clustering methods, sequential models, matrix factorization, topic modeling and model selection.Methods include: linear and logistic regression, support vector machines, tree classifiers, boosting, maximum likelihood and MAP inference, EM algorithm, hidden Markov models, Kalman filters, k-means, Gaussian mixture models, among others.In the first half of the course we will cover supervised learning techniques for regression and classification. In this framework, we possess an output or response that we wish to predict based on a set of inputs. We will discuss several fundamental methods for performing this task and algorithms for their optimization. Our approach will be more practically motivated, meaning we will fully develop a mathematical understanding of the respective algorithms, but we will only briefly touch on abstract learning theory.In the second half of the course we shift to unsupervised learning techniques. In these problems the end goal less clear-cut than predicting an output based on a corresponding input. We will cover three fundamental problems of unsupervised learning: data clustering, matrix factorization, and sequential models for order-dependent data. Some applications of these models include object recommendation and topic modeling. Computer Science",Computer Science
Free Cash Flow Analysis,Columbia University,Beginner,https://www.edx.org/course/free-cash-flow-analysis,Learn how to use the free cash flow method for firm valuation and how to compute and project free cash flows.,"In this course, learners will begin to apply the lessons and concepts from Introduction to Corporate Finance as they begin to discuss basics of firm valuation.Follow Professor Wolfenzon's lead to learn how the free cash flow method is applied to value firms. You will also learn about valuation using multiples. Throughout the course, you will learn how to construct Excel models to value firms by completing hands on activities. Business & Management",Business
Lean Production,Technische Universität München,Beginner,https://www.edx.org/course/lean-production,"Learn how to apply key elements of Lean Production, from minimizing inventory and reducing setup times, to using 5S and Kaizen, in order to improve quality and productivity in your workplace.","Learn about Lean Management, a customer-centric methodology that improves processes by eliminating waste and focusing on value-added tasks.This course will introduce the main tenets of the Toyota Production System, which includes Just-in-Time manufacturing, quality management tools, and the critical concept of Kaizen, the Japanese practice of continuous improvement. You will also learn about the key organization and managerial approaches that are used in Lean.You will learn how to analyze process flows in order to establish process capacity and identify the process bottleneck. You will then calculate resource utilization and cycle time to evaluate the impact of set up times, batching, defects and reworks on key process performance measures, including inventory, flow rate and flow time.We will also discuss the impact of key concepts of Lean, including Heijunka, Kanban, Jidoka, Andon, Poka Yoke, and 5S, which help achieve increased productivity and quality.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam. Business & Management",Business
Introduction to Algebra,SchoolYourself,Beginner,https://www.edx.org/course/introduction-to-algebra,"Solve equations, draw graphs, and play with quadratics in this interactive course!","We live in a world of numbers. You see them every day: on clocks, in the stock market, in sports, and all over the news. Algebra is all about figuring out the numbers you don't see. You might know how fast you can throw a ball, but can you use this number to determine how far you can throw it? You might keep track of stock prices, but how can you figure out how much money you've made (or lost) in the market? And you may already know how to tell time, but can you calculate at what times a clock's hour and minute hands are exactly aligned? With algebra, you can answer all of these questions, using the numbers you already know to solve for the unknown. Algebra is an essential tool for all of high school and college-level math, science, and engineering. So if you're starting out in one of these fields and you haven't yet mastered algebra, then this is the course for you! In this course, you'll be able to choose your own path within each lesson, and you can jump between lessons to quickly review earlier material. AlgebraX covers a standard curriculum in high school Algebra I, and CCSS (common core) alignment is indicated where applicable.Learn more about our High School and AP* Exam Preparation Courses Math",Math
"LaTeX for Students, Engineers, and Scientists",IITBombay,Beginner,https://www.edx.org/course/latex-for-students-engineers-and-scientists-2,"Explore a new way of writing and typesetting articles, books, papers, etc. using a document preparation system called LaTeX.","LaTeX, a document preparation system, is widely used for publishing in many scientific fields like mathematics, statistics, computer science, engineering, chemistry, physics, economics, linguistics, etc.. It is a powerful and open-source system that provides numerous facilities for automating typesetting of the document: i.e. structuring page layout, listing and auto-numbering of sections, tables, figures, generating a table of contents, managing cross-referencing, citing, and indexing. Unlike other WYSIWYG editors, the content is written in plain text along with appropriate commands, thus, allowing the user to concentrate on the content rather than the aesthetics (the way it looks). The TeX typesetting program which LaTeX uses, was designed such that anyone can create good quality material with less efforts. This course introduces the basic concepts of LaTeX. Participants taking this course will be able to create and design documents in LaTeX and presentations in Beamer with confidence. Engineering",Math
"Inglés empresarial: ventas, gestión y liderazgo",Universidades Anáhuac,Beginner,https://www.edx.org/course/ingles-empresarial-para-venta-gestion-y-liderazgo-de-equipos,Este curso en línea te permitirá aprender inglés y tener una inmersión del idioma en los negocios para sobresalir en tu carrera profesional.,"Conviértete en un ciudadano global y obtén las habilidades necesarias para lograr sobresalir en tu lugar actual de trabajo o poder alcanzar el siguiente paso al éxito laboral.Este curso de inglés en línea te brindará las habilidades lingüísticas y conversacionales básicas para el mundo de los negocios, lo que te permitirá comunicarte con jefes, colegas y personal en el trabajo de forma eficaz, tales como escuchar y analizar antes de hablar, plantear correctamente una presentación, dirigir una reunión o cerrar un trato.Obtén el entrenamiento profesional básico en inglés que siempre has deseado de la mano de profesionistas con experiencia en el campo laboral angloparlante y triunfa en tu lugar de trabajo, prepárate para internacionalizar tu negocio o enfrentarte al mundo globalizado gracias al uso de la terminología propia del mundo de los negocios.Logra aplicar tus conocimientos de forma proactiva, al mismo tiempo que recibes toda la enseñanza, motivación y herramientas necesarias para crecer profesionalmente con bases sólidas en este idioma, en un periodo conciso y práctico utilizando cualquier dispositivo móvil. Business & Management",Business
Business Strategy from Wharton: Competitive Advantage,The Wharton School of the University of Pennsylvania,Intermediate,https://www.edx.org/course/business-strategy-from-wharton-competitive-advan-2,Learn how to develop and execute strategies to gain competitive advantage and improve your position in the marketplace.,"Maintaining a competitive advantage takes more than great timing or a single solution. Sustainable advantage requires a well-designed and well-executed strategy. This course was created to give you the tools and frameworks you need to develop and execute a successful strategy.You’ll learn how to evaluate your own strategy, as well as how to locate sources of potential competitive advantage from a perspective that encompasses the internal, external, and dynamic fit of your strategy. You’ll also learn how to enhance your ability to assess the strategic impact of the moves of your competitors and how to maintain competitive advantage, understand the general drivers that create and sustain competitive advantage, and how to identify organizational barriers to change.By the end of this course, you’ll be able to assess and redesign your current strategy and develop plans for effective implementation to give your firm a competitive advantage. Business & Management",Business
"Six Sigma: Analyze, Improve, Control",Technische Universität München,Beginner,https://www.edx.org/course/six-sigma-analyze-improve-control,"Learn how to statistically analyze process data to determine the root cause and propose solutions for process problems, to implement quality management tools, such as 8D and the 5 Whys, and to understand the concept of Design for Six Sigma (DFSS).","Learn how to statistically analyze data with the Six Sigma methodology using inferential statistical techniques to determine confidence intervals and to test hypotheses based on sample data. You will also review cause and effect techniques for root cause analysis.You will learn how to perform correlation and regression analyses in order to confirm the root cause and understand how to improve your process and plan designed experiments.You will learn how to implement statistical process control using control charts and quality management tools, including the 8 Disciplines and the 5 Whys to reduce risk and manage process deviations.To complement the lectures, learners are provided with interactive exercises, which allow learners to see the statistics ""in action."" Learners then master statistical concepts by completing practice problems. These are then reinforced using interactive case studies, which illustrate the application of the statistics in quality improvement situations.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam. Business & Management",Business
AP® Microeconomics,Massachusetts Institute of Technology,Beginner,https://www.edx.org/course/ap-microeconomics,An overview of Beginner microeconomics. Learn the key principles of economics and how to apply them to the real world - and the AP® exam!,"Want to learn how individuals and businesses make the decisions that drive our economy - and use those skills to ace the Microeconomics AP® exam? This is the course for you!This economics course is an introduction to basic microeconomic principles. You will learn how individuals make decisions ranging from what type of goods to buy to how many hours to work, and how firms make decisions ranging from how many workers to hire to what prices to charge. You will study how to evaluate economic outcomes from the perspective of efficiency and fairness, and discuss the proper role of the government in determining these outcomes.This course will cover all material that is required for the Microeconomics AP® exam. It will cover this material through a mix of intuitive explanations, real-world applications, and graphical and mathematical supplements that explore the content in more depth. By the end of the course, not only will you have an understanding of the most important principles of microeconomics, but you’ll be able to use these principles to better understand the workings of the real world around you!*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings. Economics & Finance",Business
Engineering Calculus and Differential Equations,University of Hong Kong,Beginner,https://www.edx.org/course/engineering-calculus-and-differential-equations,"Learn fundamental concepts of single-variable calculus and ordinary differential equations, as well as their applications in engineering fields. Apply mathematical skills to model and solve engineering problems.","How do electrical engineers find out all the currents and voltages in a network of connected components? How do civil engineers calculate the materials necessary to construct a curved dome over a new sports arena? How do space flight engineers launch an exploratory probe? If questions like these pique your interest, this course is for you! Calculus with differential equations is the universal language of engineers. In this course, “Engineering Calculus and Differential Equations,” we will introduce fundamental concepts of single-variable calculus and ordinary differential equations. We'll explore their applications in different engineering fields. In particular, you will learn how to apply mathematical skills to model and solve real engineering problems. This course will enable you to develop a more profound understanding of engineering concepts and enhance your skills in solving engineering problems. In other words, youwill be able to construct relatively simple models of change and deduce their consequences. By studying these, youwill learn how to monitor and even controla given system to do what you want it to do. Techniques widely used in engineering will be illustrated; such as Laplace transform for solving problems in vibrations and signal processing. We have designed animations and interactive visualizations to supplement complex mathematical theories and facilitate understanding of the dynamic nature of topics involving calculus. Math",Math
Linear Algebra - Foundations to Frontiers,The University of Texas at Austin,Intermediate,https://www.edx.org/course/linear-algebra-foundations-to-frontiers,Learn the mathematics behind linear algebra and link it to matrix software development.,"Linear Algebra: Foundations to Frontiers (LAFF) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets. Students appreciate our unique approach to teaching linear algebra because:In this course, you will learn all the standard topics that are taught in typical undergraduate linear algebra courses all over the world, but using our unique method, you'll also get more! LAFF was developed following the syllabus of an Beginner linear algebra course at The University of Texas at Austin taught by Professor Robert van de Geijn, an expert on high performance linear algebra libraries. Through short videos, exercises, visualizations, and programming assignments, you will study Vector and Matrix Operations, Linear Transformations, Solving Systems of Equations, Vector Spaces, Linear Least-Squares, and Eigenvalues and Eigenvectors. In addition, you will get a glimpse of cutting edge research on the development of linear algebra libraries, which are used throughout computational science.MATLAB licenses will be made available to the participants free of charge for the duration of the course. To see what former learners have to say about the course, read reviews on coursetalk.We invite you to LAFF with us! Computer Science",Math
Effective Communication for Today's Leader,Tecnológico de Monterrey,Intermediate,https://www.edx.org/course/effective-communication-for-todays-leader,Identify and develop the most important communication skills: assertiveness and empathy.,"Interpersonal communication is one of the most important management skills: everyday we relate with our bosses, collaborators, customers and colleagues.Being a good communicator is synonym to being a good leader.Interpersonal and group communication helps us to create better business environments, and therefore, to have better results.Understand the importance of communication in people's lives and thus boost the improvement in our ability to effectively socialize.Identify the concept of communication to clarify its importance.Develop communication skills: assertiveness and empathy.Apply communication skills to performance feedback and achieve organizational objectives. Business & Management",Business
Site Planning Online,Massachusetts Institute of Technology,Intermediate,https://www.edx.org/course/site-planning-online,"How to plan a site, its infrastructure and public spaces so that it is sustainable, supports human needs, compatible with its natural and man-made surroundings, adaptable and economically efficient. The course includes many examples of well planned sites.","Cities are built site by site. Site planning has been taught in urban planning, landscape architecture and architecture programs for over a century and continues to be a foundation course for those who aspire to plan the built environment. It is a required subject on licensing and certification programs for each of these disciplines. Mastering the art of site planning requires substantive knowledge, well-honed design skills, and familiarity with examples and prototypes of site organization. This course provides the perspectives of leading academics and practitioners on the important issues in preparing site plans. It offers a foundation of knowledge, and the opportunity to apply what is learned in preparing a site plan.How to analyze a site and imagine the possibilities for its use. How to create a program and a plan for a site. How to make choices about site infrastructure. Examples of well planned sites. Design",Design
Macroeconometric Forecasting,The International Monetary Fund,Intermediate,https://www.edx.org/course/macroeconometric-forecasting-2,Learn how to create and assess forecasting models to predict macroeconomic variables such as inflation and economic growth.,"In this macroeconomics course, you will learn to predict macroeconomic variables such as inflation, growth or consumption, and to create statistical models in economics and use them to predict responses to economic policy.You will learn from hands-on demonstrations of model-building, forecasting and policy analysis, using data sets from a wide variety of countries. Demonstrations and applications will be conducted using EViews —a popular software for estimating and simulating forecasting models on Windows. Free, temporary licenses for EViews will be made available for the duration of the course.Macroeconometric Forecasting is offered by the IMF with financial support from the Government of Japan. Economics & Finance",Business
Algorithms,IITBombay,Intermediate,https://www.edx.org/course/algorithms-2,Learn how to structure and use algorithms to solve real life problems.,"Algorithms power the biggest web companies and the most promising startups. Interviews at tech companies start with questions that probe for good algorithm thinking.In this computer science course, you will learn how to think about algorithms and create them using sorting techniques such as quick sort and merge sort, and searching algorithms, median finding, and order statistics.The course progresses with Numerical, String, and Geometric algorithms like Polynomial Multiplication, Matrix Operations, GCD, Pattern Matching, Subsequences, Sweep, and Convex Hull. It concludes with graph algorithms like shortest path and spanning tree.Topics covered:This course is part of the Fundamentals of Computer Science XSeries Program: Computer Science",Computer Science
Calculus Applied!,Harvard University,Intermediate,https://www.edx.org/course/calculus-applied,"Apply tools of single-variable calculus to create and analyze mathematical models used by real practitioners in social, life, and physical sciences.","In this course, we go beyond the calculus textbook, working with practitioners in social, life and physical sciences to understand how calculus and mathematical models play a role in their work.Through a series of case studies, you’ll learn:With real practitioners as your guide, you’ll explore these situations in a hands-on way: looking at data and graphs, writing equations, doing calculus computations, and making educated guesses and predictions.This course provides a unique supplement to a course in single-variable calculus. Key topics include application of derivatives, integrals and differential equations, mathematical models and parameters.This course is for anyone who has completed or is currently taking a single-variable calculus course (differential and integral), at the high school (AP or IB) or college/university level. You will need to be familiar with the basics of derivatives, integrals, and differential equations, as well as functions involving polynomials, exponentials, and logarithms.This is a course to learn applications of calculus to other fields, and NOT a course to learn the basics of calculus. Whether you’re a student who has just finished an Beginner Calculus course or a teacher looking for more authentic examples for your classroom, there is something for you to learn here, and we hope you’ll join us! Math",Math
Precalculus,Arizona State University,Intermediate,https://www.edx.org/course/precalculus,"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.","This course is part of Global Freshman Academy (GFA), which means you can earn transferable ASU credit toward your college degree.In this college-level Precalculus course, you will prepare for calculus by focusing on quantitative reasoning and functions. You’ll develop the skills to describe the behavior and properties of linear, exponential, logarithmic, polynomial, rational, and trigonometric functions.Content in this course will be adaptive, allowing you to achieve mastery in a certain concept before moving on to the next. Utilizing the ALEKS learning system, students in this personalized, self-paced course will be instructed on the topics they are most ready to learn while also providing individualized coaching as you move through each topic.Before taking this course, you should already have a strong understanding of algebraic skills such as factoring, basic equation solving, and the rules of exponents and radicals.This 3 credit hour course satisfies the Mathematical Studies (MA) general studies requirement at Arizona State University. The cost to convert to credit is $600. This course may satisfy a general education requirement at other institutions; however, it is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit. Math",Math
